Oct 2025,Oct 2024,Change,Programming Language,Ratings,Change
1,1,,,Python,24.45%,+2.55%
2,4,,,C,9.29%,+0.91%
3,2,,,C++,8.84%,-2.77%
4,3,,,Java,8.35%,-2.15%
5,5,,,C#,6.94%,+1.32%
6,6,,,JavaScript,3.41%,-0.13%
7,7,,,Visual Basic,3.22%,+0.87%
8,8,,,Go,1.92%,-0.10%
9,10,,,Delphi/Object Pascal,1.86%,+0.19%
10,11,,,SQL,1.77%,+0.13%
11,9,,,Fortran,1.70%,-0.10%
12,29,,,Perl,1.66%,+1.10%
13,17,,,R,1.52%,+0.43%
14,15,,,PHP,1.38%,+0.17%
15,16,,,Assembly language,1.20%,+0.07%
16,13,,,Rust,1.19%,-0.25%
17,12,,,MATLAB,1.16%,-0.32%
18,14,,,Scratch,1.15%,-0.26%
19,24,,,Ada,0.98%,+0.25%
20,21,,,Kotlin,0.98%,+0.01%
